CIE,SEE
10 ,51 
10 ,11 
10 ,13 
10 ,21 
11 ,36 
13 ,45 
13 ,17 
13 ,35 
13 ,42 
14 ,17 
14 ,35 
14 ,35 
14 ,38 
15 ,45 
15 ,46 
15 ,55 
16 ,35 
16 ,17 
16 ,23 
16 ,45 
17 ,15 
17 ,39 
17 ,22 
17 ,21 
17 ,35 
17 ,18 
18 ,46 
18 ,64 
18 ,08 
18 ,35 
18 ,59 
18 ,43 
18 ,35 
18 ,39 
19 ,21 
19 ,64 
19 ,63 
19 ,24 
19 ,48 
19 ,43 
19 ,46 
19 ,19 
19 ,53 
19 ,52 
19 ,20 
19 ,36 
20 ,58 
20 ,59 
20 ,60 
20 ,48 
20 ,45 
20 ,35 
20 ,35 
20 ,42 
20 ,37 
20 ,51 
20 ,54 
21 ,59 
21 ,45 
21 ,39 
21 ,35 
21 ,44 
22 ,39 
22 ,55 
22 ,83 
22 ,51 
22 ,36 
22 ,21 
22 ,20 
22 ,62 
22 ,60 
22 ,52 
23 ,63 
23 ,78 
23 ,60 
23 ,40 
24 ,59 
24 ,43 
24 ,52 
24 ,80 
24 ,67 
24 ,76 
24 ,48 
24 ,76 
24 ,48 
25 ,74 
25 ,58 
